Generating SQLite file .cache/perf/profile-final.sqlite from .cache/perf/profile-final.nsys-rep
Processing [.cache/perf/profile-final.sqlite] with [/home/quentinwach/.t3/worktrees/beamz/t3code-e82e3371/.cache/perf/nsight/usr/lib/nsight-systems/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
59.1,1166374757,1024,1139037.8,1138445.0,1132238,1167854,3472.6,"void <unnamed>::FusedCpmlCore<(bool)1>(<unnamed>::FusedYeePhase, <unnamed>::FusedYeePhase, <unnamed>::FusedHSources, int, int, int, int)"
15.5,306447375,1024,299265.0,299139.0,297156,302147,833.3,"void <unnamed>::UpdateCombinedCpmlQueue<(int)1, (int)0, (bool)1, (bool)0, (int)64, (int)4, (int)64, (int)4>(BeamzLaunch, int, int, int, int, int, int, int, int, int, int, int)"
14.6,288593209,1024,281829.3,281587.0,280067,324740,2238.3,"void <unnamed>::UpdateCombinedCpmlQueue<(int)0, (int)0, (bool)0, (bool)0, (int)64, (int)4, (int)64, (int)4>(BeamzLaunch, int, int, int, int, int, int, int, int, int, int, int)"
6.9,135779047,1024,132596.7,132578.0,128289,138913,1653.1,"void <unnamed>::AccumulateDftGroups<(bool)0, (bool)1>(<unnamed>::DftFields, BeamzDftGroupLaunch, int)"
0.8,16025920,123,130292.0,1536.0,1248,496262,213642.7,wrapped_subtract
0.6,11822578,168,70372.5,1536.0,1376,326820,132291.3,loop_dynamic_slice_fusion
0.5,10847456,117,92713.3,1568.0,1152,405861,143266.0,loop_divide_fusion
0.5,10371102,194,53459.3,1344.0,1120,405285,109091.5,loop_multiply_fusion
0.3,5106775,2048,2493.5,2768.0,1599,3904,829.2,"<unnamed>::ApplySourcePhase(<unnamed>::SourcePhasePlan, int, int)"
0.1,2947941,60,49132.3,1424.0,1248,484230,123099.3,wrapped_add
0.1,2908546,1024,2840.4,2817.0,2752,3136,47.7,"<unnamed>::PrepareDftPhases(<unnamed>::DftFields, BeamzDftGroupLaunch, int)"
0.1,2792516,24,116354.8,1792.5,1504,413701,167136.4,wrapped_transpose
0.1,2556893,87,29389.6,1536.0,1248,163425,60318.0,loop_select_fusion
0.1,2264762,75,30196.8,1344.0,1248,245667,78482.6,wrapped_divide
0.1,2045623,70,29223.2,1312.0,1248,323876,90206.8,wrapped_concatenate
0.1,1163052,129,9015.9,1312.0,1088,85985,22193.7,wrapped_broadcast
0.1,1071916,78,13742.5,1280.0,1152,162881,43095.0,loop_subtract_fusion
0.1,1037517,52,19952.3,1344.0,1152,163170,51828.9,loop_add_fusion
0.0,307652,4,76913.0,76913.0,76833,76993,92.4,loop_broadcast_fusion_3
0.0,307299,4,76824.8,76833.0,76704,76929,96.0,loop_broadcast_fusion_4
0.0,307267,4,76816.8,76768.5,76705,77025,144.5,loop_broadcast_fusion_5
0.0,306884,4,76721.0,76721.0,76673,76769,41.3,loop_broadcast_fusion_2
0.0,306180,4,76545.0,76401.0,76385,76993,299.0,loop_broadcast_fusion_1
0.0,305475,4,76368.8,76304.5,76161,76705,234.5,loop_broadcast_fusion
0.0,122562,84,1459.1,1408.0,1344,2080,168.8,wrapped_select
0.0,106081,72,1473.3,1408.0,1280,1984,184.8,loop_power_fusion
0.0,101473,73,1390.0,1280.0,1184,1824,225.6,wrapped_multiply
0.0,95809,72,1330.7,1248.0,1184,1728,141.8,wrapped_maximum
0.0,79266,4,19816.5,19776.5,19776,19937,80.3,loop_broadcast_fusion_7
0.0,73473,4,18368.3,18016.5,17856,19584,817.7,loop_broadcast_fusion_8
0.0,72450,54,1341.7,1280.0,1216,1856,171.8,loop_minimum_fusion
0.0,42176,4,10544.0,10496.0,10464,10720,121.2,loop_broadcast_fusion_11
0.0,41600,30,1386.7,1376.0,1216,1792,161.5,loop_maximum_fusion
0.0,41473,4,10368.3,10336.0,10336,10465,64.5,loop_broadcast_fusion_6
0.0,40576,30,1352.5,1248.0,1120,1760,201.9,loop_compare_fusion
0.0,25760,15,1717.3,1632.0,1568,2464,220.6,loop_and_fusion
0.0,23744,4,5936.0,5904.0,5792,6144,149.0,loop_broadcast_fusion_9
0.0,23232,4,5808.0,5840.0,5600,5952,162.1,loop_broadcast_fusion_10
0.0,21504,12,1792.0,1792.0,1728,1856,47.3,wrapped_convert
0.0,15456,12,1288.0,1280.0,1248,1312,19.9,wrapped_exponential
0.0,15456,12,1288.0,1280.0,1088,1536,183.1,wrapped_iota
0.0,15200,12,1266.7,1280.0,1248,1280,16.5,wrapped_negate
0.0,12928,6,2154.7,2144.0,2016,2400,136.8,loop_pad_fusion
0.0,12865,6,2144.2,2128.0,2016,2305,126.6,wrapped_pad
0.0,10368,6,1728.0,1712.0,1568,1952,169.3,wrapped_dynamic_slice
0.0,5856,4,1464.0,1440.0,1312,1664,148.7,loop_broadcast_fusion_12
0.0,5376,4,1344.0,1344.0,1312,1376,26.1,loop_add_fusion_1
0.0,4576,3,1525.3,1600.0,1280,1696,217.8,input_concatenate_fusion
0.0,4160,3,1386.7,1280.0,1248,1632,213.1,loop_complex_fusion
0.0,4096,4,1024.0,1024.0,992,1056,26.1,loop_broadcast_fusion_13
0.0,1408,1,1408.0,1408.0,1408,1408,0.0,input_reduce_fusion
0.0,1312,1,1312.0,1312.0,1312,1312,0.0,wrapped_real

