shape,steps,name,depth,gcups,shared_bytes,registers,local_bytes,active_blocks_per_sm,max_abs_error
1024x256x64,256,separate,1,11.1044447,0,0,0,0,0
1024x256x64,256,ring1_32x8x8,1,11.0451265,7128,56,0,4,0
1024x256x64,256,ring1_32x8x16,1,10.8197942,7128,56,0,4,0
1024x256x64,256,ring2_32x8x8,2,12.289776,24528,55,0,4,0
1024x256x64,256,ring2_32x8x16,2,13.601222,24528,55,0,4,0
1024x256x64,256,ring2_32x8x32,2,14.0779638,24528,55,0,4,0
1024x256x64,256,ring2_64x4x16,2,12.059685,28560,55,0,3,0
1024x256x64,256,ring2_16x8x16,2,14.0917976,13008,55,0,4,0
1024x256x64,256,ring4_32x4x16,4,7.0085012,49056,56,0,2,0
1024x256x64,256,ring4_32x4x32,4,7.99013962,49056,56,0,2,0
1024x256x64,256,ring4_16x8x16,4,8.97975425,40992,56,0,2,0
1024x256x64,256,ring8_8x4x32,8,2.14281325,75840,56,0,1,0
128x256x512,256,separate,1,10.0800508,0,0,0,0,0
128x256x512,256,ring1_32x8x8,1,12.5231889,7128,56,0,4,0
128x256x512,256,ring1_32x8x16,1,12.0491867,7128,56,0,4,0
128x256x512,256,ring2_32x8x8,2,15.5022775,24528,55,0,4,0
128x256x512,256,ring2_32x8x16,2,15.8280704,24528,55,0,4,0
128x256x512,256,ring2_32x8x32,2,14.5925127,24528,55,0,4,0
128x256x512,256,ring2_64x4x16,2,14.570335,28560,55,0,3,0
128x256x512,256,ring2_16x8x16,2,16.4876264,13008,55,0,4,0
128x256x512,256,ring4_32x4x16,4,9.47642577,49056,56,0,2,0
128x256x512,256,ring4_32x4x32,4,10.5222064,49056,56,0,2,0
128x256x512,256,ring4_16x8x16,4,10.2800309,40992,56,0,2,0
128x256x512,256,ring8_8x4x32,8,2.23948715,75840,56,0,1,0
128x256x768,256,separate,1,9.44110203,0,0,0,0,0
128x256x768,256,ring1_32x8x8,1,12.56591,7128,56,0,4,0
128x256x768,256,ring1_32x8x16,1,12.1451871,7128,56,0,4,0
128x256x768,256,ring2_32x8x8,2,15.5423645,24528,55,0,4,0
128x256x768,256,ring2_32x8x16,2,15.7407017,24528,55,0,4,0
128x256x768,256,ring2_32x8x32,2,14.6607333,24528,55,0,4,0
128x256x768,256,ring2_64x4x16,2,14.5075068,28560,55,0,3,0
128x256x768,256,ring2_16x8x16,2,16.2058835,13008,55,0,4,0
128x256x768,256,ring4_32x4x16,4,9.53385963,49056,56,0,2,0
128x256x768,256,ring4_32x4x32,4,10.5168284,49056,56,0,2,0
128x256x768,256,ring4_16x8x16,4,10.0180515,40992,56,0,2,0
128x256x768,256,ring8_8x4x32,8,2.22158119,75840,56,0,1,0
71x479x503,256,separate,1,9.68953564,0,0,0,0,0
71x479x503,256,ring1_32x8x8,1,10.9571957,7128,56,0,4,0
71x479x503,256,ring1_32x8x16,1,9.37733428,7128,56,0,4,0
71x479x503,256,ring2_32x8x8,2,15.233343,24528,55,0,4,0
71x479x503,256,ring2_32x8x16,2,14.1098495,24528,55,0,4,0
71x479x503,256,ring2_32x8x32,2,10.6866498,24528,55,0,4,0
71x479x503,256,ring2_64x4x16,2,12.4726232,28560,55,0,3,0
71x479x503,256,ring2_16x8x16,2,14.2764256,13008,55,0,4,0
71x479x503,256,ring4_32x4x16,4,8.15782905,49056,56,0,2,0
71x479x503,256,ring4_32x4x32,4,7.35524208,49056,56,0,2,0
71x479x503,256,ring4_16x8x16,4,8.87607725,40992,56,0,2,0
71x479x503,256,ring8_8x4x32,8,1.56460894,75840,56,0,1,0
