case,tile,gcups,median_paired_gain_pct
aspect_1024_256_64,64x4,6.531191308727287,0.0
aspect_1024_256_64,32x8,6.863467117364805,5.0025051715402835
aspect_1024_256_64,32x4,6.931662397005213,5.310588148526563
field_128_256_512,64x4,8.267678251957621,0.0
field_128_256_512,32x8,8.24625777208041,-0.2507855215559629
field_128_256_512,32x4,8.209777745744745,-0.705994621683681
irregular_1024_256_65,64x4,6.451698666558454,0.0
irregular_1024_256_65,32x8,6.885418686499739,6.613296393157109
irregular_1024_256_65,32x4,7.019587298529526,8.537464254704874
volume_128_256_512,64x4,8.414489498489443,0.0
volume_128_256_512,32x8,8.310269582015072,-0.4578047031870369
volume_128_256_512,32x4,8.389764171108654,-0.8620515507305471
