case,z,y,x,cells,cpml_cells,shell_fraction_approx,monitor_type,steps,presteps,fusion_override,samples,median_gcups,raw_json
full_field_64_256_1024,64,256,1024,16777216,12,0.446868896484375,field,256,0,auto,5,7.864864264317754,rtx3090-2026-09-18-shapes/full_field_64_256_1024.json
volume_128_256_256,128,256,256,8388608,12,0.33270263671875,mode,256,0,auto,5,8.149618591148927,rtx3090-2026-09-18-shapes/volume_128_256_256.json
alignment_x_536,128,256,536,17563648,12,0.29664179104477617,mode,256,0,auto,5,8.678003584433373,rtx3090-2026-09-18-shapes/alignment_x_536.json
alignment_x_513,128,256,513,16809984,12,0.29811997441520466,mode,256,0,auto,5,8.540088611958147,rtx3090-2026-09-18-shapes/alignment_x_513.json
alignment_y_257,128,257,512,16842752,12,0.2979047604571984,mode,256,0,auto,5,8.497254827444412,rtx3090-2026-09-18-shapes/alignment_y_257.json
aspect_64_1024_256,64,1024,256,16777216,12,0.446868896484375,mode,256,0,auto,5,7.090261579644604,rtx3090-2026-09-18-shapes/aspect_64_1024_256.json
volume_64_128_256,64,128,256,2097152,12,0.539794921875,mode,256,0,auto,5,6.672491795216909,rtx3090-2026-09-18-shapes/volume_64_128_256.json
aspect_1024_64_256,1024,64,256,16777216,12,0.446868896484375,mode,256,0,auto,5,8.311286158027162,rtx3090-2026-09-18-shapes/aspect_1024_64_256.json
alignment_x_520,128,256,520,17039360,12,0.29765625000000007,mode,256,0,auto,5,8.696882305888096,rtx3090-2026-09-18-shapes/alignment_x_520.json
alignment_y_255,128,255,512,16711680,12,0.2984719669117647,mode,256,0,auto,5,8.468166926637355,rtx3090-2026-09-18-shapes/alignment_y_255.json
alignment_z_129,129,256,512,16908288,12,0.29693177688953487,mode,256,0,auto,5,8.474172838864519,rtx3090-2026-09-18-shapes/alignment_z_129.json
volume_256_256_256,256,256,256,16777216,12,0.255706787109375,mode,256,0,auto,5,8.826932611314689,rtx3090-2026-09-18-shapes/volume_256_256_256.json
developed,128,256,512,16777216,12,0.298187255859375,mode,256,1024,auto,5,8.487053946193456,rtx3090-2026-09-18-shapes/developed.json
alignment_x_504,128,256,504,16515072,12,0.29873511904761907,mode,256,0,auto,5,8.761394909013555,rtx3090-2026-09-18-shapes/alignment_x_504.json
long,128,256,512,16777216,12,0.298187255859375,mode,1024,0,auto,5,8.543685291091881,rtx3090-2026-09-18-shapes/long.json
aspect_256_64_1024,256,64,1024,16777216,12,0.446868896484375,mode,256,0,auto,5,8.35068854920088,rtx3090-2026-09-18-shapes/aspect_256_64_1024.json
volume_128_256_768,128,256,768,25165824,12,0.28668212890625,mode,256,0,auto,5,8.66434592510658,rtx3090-2026-09-18-shapes/volume_128_256_768.json
aspect_256_1024_64,256,1024,64,16777216,12,0.446868896484375,mode,256,0,auto,5,6.951389431511642,rtx3090-2026-09-18-shapes/aspect_256_1024_64.json
full_field_128_256_512,128,256,512,16777216,12,0.298187255859375,field,256,0,auto,5,8.328320506971995,rtx3090-2026-09-18-shapes/full_field_128_256_512.json
aspect_1024_256_64,1024,256,64,16777216,12,0.446868896484375,mode,256,0,auto,5,6.993683751811365,rtx3090-2026-09-18-shapes/aspect_1024_256_64.json
alignment_z_127,127,256,512,16646144,12,0.2994625061515749,mode,256,0,auto,5,8.84009444053015,rtx3090-2026-09-18-shapes/alignment_z_127.json
